Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label
19:23:33.946701;IP;localhost;43872; localhost;domain;;;;;;48866;[1au];A?;s.update.ib.adnxs.com.;-50;1
19:23:33.948041;IP;localhost;43872; localhost;domain;;;;;;12792;[1au];AAAA?;s.update.ib.adnxs.com.;-50;1
19:23:33.970903;IP;localhost;domain ; localhost;43872;;;;;;48866;11/0/1;CNAME;s.flizzam.com.,;A;1
19:23:34.090462;IP;localhost;domain ; localhost;43872;;;;;;12792;NXDomain;0/0/1;-50;;1
19:23:34.456018;IP;localhost;46614; localhost;domain;;;;;;36474;[1au];PTR?;53.0.0.127.in-addr.arpa.;-52;1
19:23:34.456247;IP;localhost;domain ; localhost;46614;;;;;;36474;1/0/1;PTR;localhost.;-75;1
19:23:37.482756;IP;localhost;34957; localhost;domain;;;;;;45969;[1au];A?;m.adnxs.com.;-40;1
19:23:37.483216;IP;localhost;domain ; localhost;34957;;;;;;45969;4/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1
19:23:37.483258;IP;localhost;34957; localhost;domain;;;;;;40863;[1au];AAAA?;m.adnxs.com.;-40;1
19:23:37.505189;IP;localhost;domain ; localhost;34957;;;;;;40863;2/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1
19:23:37.787866;IP;localhost;53382; localhost;domain;;;;;;10717;[1au];A?;m.adnxs.com.;-40;1
19:23:37.788233;IP;localhost;domain ; localhost;53382;;;;;;10717;4/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1
19:23:37.788333;IP;localhost;53382; localhost;domain;;;;;;49640;[1au];AAAA?;m.adnxs.com.;-40;1
19:23:37.788528;IP;localhost;domain ; localhost;53382;;;;;;49640;2/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1
19:23:37.803458;IP;localhost;46340; localhost;domain;;;;;;23827;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1
19:23:37.804004;IP;localhost;46340; localhost;domain;;;;;;1310;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1
19:23:37.827662;IP;localhost;domain ; localhost;46340;;;;;;1310;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1
19:23:37.840536;IP;localhost;domain ; localhost;46340;;;;;;23827;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1
19:23:37.849835;IP;localhost;32899; localhost;domain;;;;;;12666;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1
19:23:37.850150;IP;localhost;domain ; localhost;32899;;;;;;12666;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1
19:23:37.850340;IP;localhost;32899; localhost;domain;;;;;;27014;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1
19:23:37.850579;IP;localhost;domain ; localhost;32899;;;;;;27014;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1
19:23:38.178911;IP;localhost;38471; localhost;domain;;;;;;64227;[1au];A?;sb.scorecardresearch.com.;-53;1
19:23:38.179569;IP;localhost;38471; localhost;domain;;;;;;6895;[1au];AAAA?;sb.scorecardresearch.com.;-53;1
19:23:38.179780;IP;localhost;domain ; localhost;38471;;;;;;6895;2/0/1;CNAME;sb.scorecardresearch.com.edgekey.net.,;CNAME;1
19:23:38.179997;IP;localhost;40805; localhost;domain;;;;;;26357;[1au];A?;ib.adnxs.com.;-41;1
19:23:38.180520;IP;localhost;40805; localhost;domain;;;;;;34555;[1au];AAAA?;ib.adnxs.com.;-41;1
19:23:38.203048;IP;localhost;domain ; localhost;40805;;;;;;34555;2/0/1;CNAME;g.geogslb.com.,;CNAME;1
19:23:38.203170;IP;localhost;domain ; localhost;38471;;;;;;64227;3/0/1;CNAME;sb.scorecardresearch.com.edgekey.net.,;CNAME;1
19:23:38.203333;IP;localhost;domain ; localhost;40805;;;;;;26357;10/0/1;CNAME;g.geogslb.com.,;CNAME;1
19:23:38.227787;IP;localhost;39787; localhost;domain;;;;;;64168;[1au];A?;acdn.adnxs.com.;-43;1
19:23:38.228405;IP;localhost;39787; localhost;domain;;;;;;22194;[1au];AAAA?;acdn.adnxs.com.;-43;1
19:23:38.251904;IP;localhost;domain ; localhost;39787;;;;;;64168;3/0/1;CNAME;secure-adnxs.edgekey.net.,;CNAME;1
19:23:38.254551;IP;localhost;domain ; localhost;39787;;;;;;22194;2/0/1;CNAME;secure-adnxs.edgekey.net.,;CNAME;1
19:23:38.264446;IP;localhost;35562; localhost;domain;;;;;;55039;[1au];A?;fra1-ib.adnxs.com.;-46;1
19:23:38.264649;IP;localhost;domain ; localhost;35562;;;;;;55039;8/0/1;A;37.252.173.27,;A;1
19:23:38.264681;IP;localhost;35562; localhost;domain;;;;;;46601;[1au];AAAA?;fra1-ib.adnxs.com.;-46;1
19:23:38.286588;IP;localhost;domain ; localhost;35562;;;;;;46601;0/0/1;-46;;;1
19:23:38.970380;IP;localhost;44378; localhost;domain;;;;;;22222;[1au];A?;fra1-ib.adnxs.com.;-46;1
19:23:38.970585;IP;localhost;domain ; localhost;44378;;;;;;22222;8/0/1;A;37.252.173.27,;A;1
19:23:38.970652;IP;localhost;44378; localhost;domain;;;;;;9944;[1au];AAAA?;fra1-ib.adnxs.com.;-46;1
19:23:38.970751;IP;localhost;domain ; localhost;44378;;;;;;9944;0/0/1;-46;;;1
19:23:39.775960;IP;localhost;43880; localhost;domain;;;;;;2920;[1au];A?;googleads.g.doubleclick.net.;-56;1
19:23:39.776274;IP;localhost;domain ; localhost;43880;;;;;;2920;2/0/1;CNAME;pagead46.l.doubleclick.net.,;A;1
19:23:39.776312;IP;localhost;43880; localhost;domain;;;;;;14199;[1au];AAAA?;googleads.g.doubleclick.net.;-56;1
19:23:39.776453;IP;localhost;domain ; localhost;43880;;;;;;14199;2/0/1;CNAME;pagead46.l.doubleclick.net.,;AAAA;1
19:23:39.917367;IP;localhost;48727; localhost;domain;;;;;;10281;[1au];A?;cdn.taboola.com.;-44;1
19:23:39.917824;IP;localhost;48727; localhost;domain;;;;;;47155;[1au];AAAA?;cdn.taboola.com.;-44;1
19:23:39.939319;IP;localhost;domain ; localhost;48727;;;;;;10281;2/0/1;CNAME;f2.taboola.map.fastly.net.,;A;1
19:23:39.941330;IP;localhost;domain ; localhost;48727;;;;;;47155;1/0/1;CNAME;f2.taboola.map.fastly.net.;-83;1
19:23:41.845093;IP;localhost;33145; localhost;domain;;;;;;54170;[1au];A?;stats.g.doubleclick.net.;-52;1
19:23:41.845504;IP;localhost;domain ; localhost;33145;;;;;;54170;5/0/1;CNAME;stats.l.doubleclick.net.,;A;1
19:23:41.845700;IP;localhost;43220; localhost;domain;;;;;;18339;[1au];A?;cdn.ampproject.org.;-47;1
19:23:41.845869;IP;localhost;domain ; localhost;43220;;;;;;18339;2/0/1;CNAME;cdn-content.ampproject.org.,;A;1
19:23:41.845896;IP;localhost;43220; localhost;domain;;;;;;8106;[1au];AAAA?;cdn.ampproject.org.;-47;1
19:23:41.846278;IP;localhost;33145; localhost;domain;;;;;;10151;[1au];AAAA?;stats.g.doubleclick.net.;-52;1
19:23:41.846429;IP;localhost;domain ; localhost;33145;;;;;;10151;2/0/1;CNAME;stats.l.doubleclick.net.,;AAAA;1
19:23:41.846748;IP;localhost;45013; localhost;domain;;;;;;36638;[1au];A?;connect.facebook.net.;-49;1
19:23:41.847106;IP;localhost;45013; localhost;domain;;;;;;28452;[1au];AAAA?;connect.facebook.net.;-49;1
19:23:41.847709;IP;localhost;36178; localhost;domain;;;;;;56264;[1au];A?;ic.tynt.com.;-40;1
19:23:41.848155;IP;localhost;36178; localhost;domain;;;;;;36815;[1au];AAAA?;ic.tynt.com.;-40;1
19:23:41.848273;IP;localhost;domain ; localhost;36178;;;;;;36815;0/0/1;-40;;;1
19:23:41.848470;IP;localhost;34859; localhost;domain;;;;;;54255;[1au];A?;cdn-sic.33across.com.;-49;1
19:23:41.848652;IP;localhost;domain ; localhost;34859;;;;;;54255;3/0/1;CNAME;cdn-sic.33across.com.cdn.cloudflare.net.,;A;1
19:23:41.848678;IP;localhost;34859; localhost;domain;;;;;;9205;[1au];AAAA?;cdn-sic.33across.com.;-49;1
19:23:41.848817;IP;localhost;domain ; localhost;34859;;;;;;9205;1/0/1;CNAME;cdn-sic.33across.com.cdn.cloudflare.net.;-102;1
19:23:41.849212;IP;localhost;48112; localhost;domain;;;;;;23382;[1au];A?;33across-d.openx.net.;-49;1
19:23:41.849583;IP;localhost;48112; localhost;domain;;;;;;41819;[1au];AAAA?;33across-d.openx.net.;-49;1
19:23:41.849697;IP;localhost;domain ; localhost;48112;;;;;;41819;0/0/1;-49;;;1
19:23:41.854623;IP;localhost;58523; localhost;domain;;;;;;51012;[1au];A?;www.1001jeux.fr.;-44;1
19:23:41.854810;IP;localhost;domain ; localhost;58523;;;;;;51012;2/0/1;A;104.26.3.46,;A;1
19:23:41.854843;IP;localhost;58523; localhost;domain;;;;;;52046;[1au];AAAA?;www.1001jeux.fr.;-44;1
19:23:41.868062;IP;localhost;domain ; localhost;45013;;;;;;36638;2/0/1;CNAME;scontent.xx.fbcdn.net.,;A;1
19:23:41.869933;IP;localhost;domain ; localhost;43220;;;;;;8106;2/0/1;CNAME;cdn-content.ampproject.org.,;AAAA;1
19:23:41.871791;IP;localhost;domain ; localhost;48112;;;;;;23382;1/0/1;A;34.95.120.147;-65;1
19:23:41.871883;IP;localhost;domain ; localhost;45013;;;;;;28452;2/0/1;CNAME;scontent.xx.fbcdn.net.,;AAAA;1
19:23:41.871956;IP;localhost;domain ; localhost;36178;;;;;;56264;1/0/1;A;208.100.17.187;-56;1
19:23:41.876778;IP;localhost;domain ; localhost;58523;;;;;;52046;2/0/1;AAAA;2606:4700:20::681a:22e,;AAAA;1
19:23:42.407586;IP;localhost;44213; localhost;domain;;;;;;49778;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1
19:23:42.407908;IP;localhost;domain ; localhost;44213;;;;;;49778;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1
19:23:42.407943;IP;localhost;44213; localhost;domain;;;;;;14975;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1
19:23:42.430606;IP;localhost;domain ; localhost;44213;;;;;;14975;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1
19:23:42.529099;IP;localhost;43795; localhost;domain;;;;;;39660;[1au];A?;pagead2.googlesyndication.com.;-58;1
19:23:42.529433;IP;localhost;domain ; localhost;43795;;;;;;39660;2/0/1;CNAME;pagead46.l.doubleclick.net.,;A;1
19:23:42.529475;IP;localhost;43795; localhost;domain;;;;;;7930;[1au];AAAA?;pagead2.googlesyndication.com.;-58;1
19:23:42.529745;IP;localhost;domain ; localhost;43795;;;;;;7930;2/0/1;CNAME;pagead46.l.doubleclick.net.,;AAAA;1
19:23:42.811353;IP;localhost;47155; localhost;domain;;;;;;45618;[1au];A?;ccf.admeen.org.;-43;1
19:23:42.811773;IP;localhost;47155; localhost;domain;;;;;;58940;[1au];AAAA?;ccf.admeen.org.;-43;1
19:23:42.811883;IP;localhost;domain ; localhost;47155;;;;;;58940;0/0/1;-43;;;1
19:23:42.833178;IP;localhost;domain ; localhost;47155;;;;;;45618;2/0/1;A;104.24.17.66,;A;1
19:23:42.875532;IP;localhost;43626; localhost;domain;;;;;;5771;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1
19:23:42.876231;IP;localhost;43626; localhost;domain;;;;;;27286;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1
19:23:42.897710;IP;localhost;domain ; localhost;43626;;;;;;5771;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1
19:23:42.920216;IP;localhost;domain ; localhost;43626;;;;;;27286;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1
19:23:44.219546;IP;localhost;48664; localhost;domain;;;;;;23676;[1au];A?;trc.taboola.com.;-44;1
19:23:44.220042;IP;localhost;48664; localhost;domain;;;;;;52358;[1au];AAAA?;trc.taboola.com.;-44;1
19:23:44.242253;IP;localhost;domain ; localhost;48664;;;;;;52358;1/0/1;CNAME;tls13.taboola.map.fastly.net.;-86;1
19:23:44.244948;IP;localhost;domain ; localhost;48664;;;;;;23676;2/0/1;CNAME;tls13.taboola.map.fastly.net.,;A;1
19:23:44.705669;IP;localhost;46569; localhost;domain;;;;;;48753;[1au];A?;www.google-analytics.com.;-53;1
19:23:44.706192;IP;localhost;46569; localhost;domain;;;;;;54910;[1au];AAAA?;www.google-analytics.com.;-53;1
19:23:44.706419;IP;localhost;domain ; localhost;46569;;;;;;54910;2/0/1;CNAME;www-google-analytics.l.google.com.,;AAAA;1
19:23:44.717512;IP;localhost;35865; localhost;domain;;;;;;46600;[1au];A?;www.googletagservices.com.;-54;1
19:23:44.717767;IP;localhost;domain ; localhost;35865;;;;;;46600;2/0/1;CNAME;pagead46.l.doubleclick.net.,;A;1
19:23:44.717800;IP;localhost;35865; localhost;domain;;;;;;43540;[1au];AAAA?;www.googletagservices.com.;-54;1
19:23:44.717942;IP;localhost;domain ; localhost;35865;;;;;;43540;2/0/1;CNAME;pagead46.l.doubleclick.net.,;AAAA;1
19:23:44.727718;IP;localhost;domain ; localhost;46569;;;;;;48753;2/0/1;CNAME;www-google-analytics.l.google.com.,;A;1
19:23:45.204106;IP;localhost;60205; localhost;domain;;;;;;12643;[1au];A?;craftnite.io.;-41;1
19:23:45.204625;IP;localhost;60205; localhost;domain;;;;;;13677;[1au];AAAA?;craftnite.io.;-41;1
19:23:45.232991;IP;localhost;60542; localhost;domain;;;;;;11532;[1au];A?;trc.taboola.com.;-44;1
19:23:45.233249;IP;localhost;domain ; localhost;60542;;;;;;11532;2/0/1;CNAME;tls13.taboola.map.fastly.net.,;A;1
19:23:45.233285;IP;localhost;60542; localhost;domain;;;;;;13592;[1au];AAAA?;trc.taboola.com.;-44;1
19:23:45.233428;IP;localhost;domain ; localhost;60542;;;;;;13592;1/0/1;CNAME;tls13.taboola.map.fastly.net.;-86;1
19:23:45.246411;IP;localhost;domain ; localhost;60205;;;;;;13677;2/0/1;AAAA;2606:4700:3035::681f:4ffd,;AAAA;1
19:23:45.356445;IP;localhost;domain ; localhost;60205;;;;;;12643;2/0/1;A;104.31.79.253,;A;1
19:23:45.364910;IP;localhost;39418; localhost;domain;;;;;;63135;[1au];A?;player.tubia.com.;-45;1
19:23:45.365100;IP;localhost;domain ; localhost;39418;;;;;;63135;2/0/1;A;104.26.2.53,;A;1
19:23:45.365131;IP;localhost;39418; localhost;domain;;;;;;2729;[1au];AAAA?;player.tubia.com.;-45;1
19:23:45.389385;IP;localhost;domain ; localhost;39418;;;;;;2729;2/0/1;AAAA;2606:4700:20::681a:335,;AAAA;1
19:23:45.521130;IP;localhost;42438; localhost;domain;;;;;;8974;[1au];A?;ocsp.digicert.com.;-46;1
19:23:45.521382;IP;localhost;domain ; localhost;42438;;;;;;8974;2/0/1;CNAME;cs9.wac.phicdn.net.,;A;1
19:23:45.521417;IP;localhost;42438; localhost;domain;;;;;;41753;[1au];AAAA?;ocsp.digicert.com.;-46;1
19:23:45.521554;IP;localhost;domain ; localhost;42438;;;;;;41753;1/0/1;CNAME;cs9.wac.phicdn.net.;-78;1
19:23:45.695890;IP;localhost;41220; localhost;domain;;;;;;14098;[1au];A?;www.1001jeux.fr.;-44;1
19:23:45.696269;IP;localhost;domain ; localhost;41220;;;;;;14098;2/0/1;A;104.26.3.46,;A;1
19:23:45.696334;IP;localhost;41220; localhost;domain;;;;;;6941;[1au];AAAA?;www.1001jeux.fr.;-44;1
19:23:45.696523;IP;localhost;domain ; localhost;41220;;;;;;6941;2/0/1;AAAA;2606:4700:20::681a:32e,;AAAA;1
19:23:46.374947;IP;localhost;46830; localhost;domain;;;;;;50804;[1au];A?;adservice.google.fr.;-48;1
19:23:46.375302;IP;localhost;domain ; localhost;46830;;;;;;50804;2/0/1;CNAME;pagead46.l.doubleclick.net.,;A;1
19:23:46.375343;IP;localhost;46830; localhost;domain;;;;;;3711;[1au];AAAA?;adservice.google.fr.;-48;1
19:23:46.375497;IP;localhost;domain ; localhost;46830;;;;;;3711;2/0/1;CNAME;pagead46.l.doubleclick.net.,;AAAA;1
19:23:46.387575;IP;localhost;36480; localhost;domain;;;;;;19121;[1au];A?;adservice.google.com.;-49;1
19:23:46.387859;IP;localhost;domain ; localhost;36480;;;;;;19121;2/0/1;CNAME;pagead46.l.doubleclick.net.,;A;1
19:23:46.387910;IP;localhost;36480; localhost;domain;;;;;;24252;[1au];AAAA?;adservice.google.com.;-49;1
19:23:46.388132;IP;localhost;domain ; localhost;36480;;;;;;24252;2/0/1;CNAME;pagead46.l.doubleclick.net.,;AAAA;1
19:23:46.413860;IP;localhost;46355; localhost;domain;;;;;;5831;[1au];A?;securepubads.g.doubleclick.net.;-59;1
19:23:46.414202;IP;localhost;domain ; localhost;46355;;;;;;5831;2/0/1;CNAME;partnerad.l.doubleclick.net.,;A;1
19:23:46.414249;IP;localhost;46355; localhost;domain;;;;;;8917;[1au];AAAA?;securepubads.g.doubleclick.net.;-59;1
19:23:46.436212;IP;localhost;domain ; localhost;46355;;;;;;8917;1/0/1;CNAME;partnerad.l.doubleclick.net.;-85;1
19:23:46.662035;IP;localhost;52553; localhost;domain;;;;;;31330;[1au];A?;static.h-bid.com.;-45;1
19:23:46.662295;IP;localhost;domain ; localhost;52553;;;;;;31330;2/0/1;CNAME;429520581.r.cdnsun.net.,;A;1
19:23:46.662329;IP;localhost;52553; localhost;domain;;;;;;19053;[1au];AAAA?;static.h-bid.com.;-45;1
19:23:46.684803;IP;localhost;domain ; localhost;52553;;;;;;19053;1/0/1;CNAME;429520581.r.cdnsun.net.;-81;1
19:23:46.911773;IP;localhost;58461; localhost;domain;;;;;;32518;[1au];A?;api.adinplay.com.;-45;1
19:23:46.912142;IP;localhost;58461; localhost;domain;;;;;;25360;[1au];AAAA?;api.adinplay.com.;-45;1
19:23:46.918812;IP;localhost;36178; localhost;domain;;;;;;8105;[1au];A?;ssl.minijuegosgratis.com.;-53;1
19:23:46.919460;IP;localhost;36178; localhost;domain;;;;;;41907;[1au];AAAA?;ssl.minijuegosgratis.com.;-53;1
19:23:46.935235;IP;localhost;domain ; localhost;58461;;;;;;25360;2/0/1;AAAA;2606:4700:20::681a:e6b,;AAAA;1
19:23:46.935329;IP;localhost;domain ; localhost;58461;;;;;;32518;2/0/1;A;104.26.15.107,;A;1
19:23:46.947325;IP;localhost;domain ; localhost;36178;;;;;;8105;2/0/1;A;104.26.7.226,;A;1
19:23:46.949294;IP;localhost;domain ; localhost;36178;;;;;;41907;2/0/1;AAAA;2606:4700:20::681a:6e2,;AAAA;1
19:23:47.007487;IP;localhost;35264; localhost;domain;;;;;;15931;[1au];A?;www.googletagmanager.com.;-53;1
19:23:47.009314;IP;localhost;35264; localhost;domain;;;;;;5705;[1au];AAAA?;www.googletagmanager.com.;-53;1
19:23:47.022002;IP;localhost;41283; localhost;domain;;;;;;62289;[1au];A?;static.addtoany.com.;-48;1
